ancestor_identifier,successor_identifier,historical_evidence,varia
1,1,,
4,7,3.0,
7,8,3.0,
8,9,3.0,
5,10,3.0,
17,18,2.0,
39,38,25.0,
18,47,2.0,
49,56,35.0,
56,57,35.0,
57,58,35.0,
58,59,35.0,
60,61,36.0,
61,62,36.0,
62,63,,
68,69,40.0,
69,70,40.0,
73,72,42.0,
74,72,42.0,
72,71,41.0,
93,96,,
121,122,,
123,124,,
110,139,,
157,158,,
158,159,,
159,160,,
160,161,,
163,164,,
161,162,,
164,165,,
169,170,,
170,171,,
171,172,,
174,175,,
175,176,,
176,177,,
177,178,,
182,183,,
180,182,,
185,186,,
186,187,,
187,188,,
189,190,,
192,194,,
194,195,,
195,196,,
197,198,,
204,205,,
211,212,,
209,207,,
221,222,,
225,226,,
233,232,,
232,234,,
238,113,,
243,244,,
245,246,,
240,248,,
248,249,,
250,251,,
256,257,,
257,258,,
258,259,,
259,260,,
264,265,,
262,266,,
268,269,,
271,277,,
277,278,,
279,280,,
291,290,,
290,292,,
293,294,,
297,298,,
298,299,,
302,303,,
303,304,,
305,278,,
305,306,,
308,146,,
309,310,,
311,312,,
281,282,3.0,
281,283,3.0,
282,284,3.0,
283,284,3.0,
285,286,62.0,
286,285,62.0,
315,316,62.0,
316,317,62.0,
317,319,62.0,
318,314,61.0,
318,313,67.0,
