topographic_object_identifier,start_at_input,end_at_input,start_at,end_at,type,historical_evidence,varia,new_type_name
88.0,1300.0,2000.0,1300.0,2000.0,ulica,1000.0,,
89.0,1617.0,1804.0,1617.0,1804.0,brama miejska,1000.0,,
90.0,1300.0,2000.0,1300.0,2000.0,ulica,1000.0,,
91.0,1606.0,1944.0,1606.0,1944.0,kościół,1000.0,,
92.0,1638.0,1864.0,1638.0,1864.0,klasztor,1000.0,,
93.0,1606.0,2000.0,1606.0,2000.0,zespół sakralny lub klasztorny,1000.0,,
94.0,1466.0,2000.0,1466.0,2000.0,kamienica,1000.0,,
95.0,1818.0,1944.0,1818.0,1944.0,kamienica,1000.0,,
97.0,1300.0,1408.0,1300.0,1408.0,ulica,1000.0,,
96.0,1864.0,1944.0,1864.0,1944.0,dom dziecka,1000.0,,
98.0,1408.0,1791.0,1408.0,1791.0,ulica,1000.0,,
97.0,1408.0,1791.0,1408.0,1791.0,ulica,1000.0,,
97.0,1791.0,2000.0,1791.0,2000.0,ulica,1000.0,,
99.0,1408.0,1791.0,1408.0,1791.0,przedmieście,1000.0,,
100.0,1408.0,1791.0,1408.0,1791.0,miasto,1000.0,,
101.0,1408.0,1650.0,1408.0,1650.0,ulica,1000.0,,
102.0,1408.0,2000.0,1408.0,2000.0,rynek,1000.0,,
103.0,1913.0,1944.0,1913.0,1944.0,hala targowa,1000.0,,
104.0,1350.0,1791.0,1350.0,1791.0,jurydyka,1000.0,,
105.0,1600.0,1791.0,1600.0,1791.0,jurydyka,1000.0,,
106.0,1600.0,1943.0,1600.0,1943.0,plac,1000.0,,
107.0,1638.0,1791.0,1638.0,1791.0,jurydyka,1000.0,,
108.0,1638.0,2000.0,1638.0,2000.0,ulica,1000.0,,
109.0,1643.0,1832.0,1643.0,1832.0,arsenał,1000.0,,
109.0,1832.0,1935.0,1832.0,1935.0,więzienie,1000.0,,
109.0,1938.0,1945.0,1938.0,1945.0,archiwum,1000.0,,
110.0,1615.0,1807.0,1615.0,1807.0,zespół sakralny lub klasztorny,1000.0,,
139.0,1807.0,1892.0,1807.0,1892.0,zabudowania koszarowe,1000.0,,
111.0,1903.0,1944.0,1903.0,1944.0,hala targowa,1000.0,,
112.0,1615.0,1807.0,1615.0,1807.0,klasztor,1000.0,,
112.0,1807.0,1892.0,1807.0,1892.0,zabudowania koszarowe,1000.0,,
113.0,1615.0,1807.0,1615.0,1807.0,kościół,43.0,,
114.0,1880.0,1915.0,1880.0,1915.0,dworzec kolejowy,15.0,,
115.0,1824.0,1945.0,1824.0,1945.0,plac,47.0,,
116.0,1906.0,1950.0,1906.0,1950.0,kamienica,47.0,,
117.0,1916.0,2000.0,1916.0,2000.0,kamienica,49.0,,
118.0,1870.0,1944.0,1870.0,1944.0,fabryka,50.0,,
119.0,1784.0,1944.0,1784.0,1944.0,manufaktura,50.0,,
119.0,1784.0,1944.0,1784.0,1944.0,fabryka,52.0,,
120.0,1818.0,1942.0,1818.0,1942.0,rogatka,1000.0,,
121.0,1693.0,1775.0,1693.0,1775.0,łaźnia,1000.0,,
122.0,1775.0,1795.0,1775.0,1795.0,pałac,1000.0,,
123.0,1846.0,1919.0,1846.0,1919.0,cerkiew,1000.0,,
124.0,1919.0,1947.0,1919.0,1947.0,kaplica wolnostojąca,1000.0,,
125.0,1854.0,1935.0,1854.0,1935.0,forteca,1000.0,,
126.0,1834.0,1945.0,1834.0,1945.0,forteca,1000.0,,
127.0,1833.0,1939.0,1833.0,1939.0,teatr,1000.0,,
128.0,1870.0,1939.0,1870.0,1939.0,teatr,1000.0,,
129.0,1695.0,1825.0,1695.0,1825.0,centrum handlowo‐usługowe,1000.0,,
130.0,1819.0,1825.0,1819.0,1825.0,dom towarowy lub handlowy,1000.0,,
131.0,1909.0,1939.0,1909.0,1939.0,dom towarowy lub handlowy,1000.0,,
132.0,,1785.0,,1785.0,pałac,1000.0,,
133.0,1785.0,1808.0,1785.0,1808.0,dom towarowy lub handlowy,1000.0,,
134.0,,1791.0,,1791.0,jurydyka,1000.0,,
135.0,1808.0,1825.0,1808.0,1825.0,plac,1000.0,,
137.0,1825.0,2000.0,1825.0,2000.0,plac,1000.0,,
136.0,1819.0,1825.0,1819.0,1825.0,plac,1000.0,,
138.0,1785.0,1819.0,1785.0,1819.0,pałac,1000.0,,
157.0,1819.0,1939.0,1819.0,1939.0,ratusz,1000.0,,
140.0,1615.0,1791.0,1615.0,1791.0,jurydyka,1000.0,,
141.0,1648.0,1791.0,1648.0,1791.0,jurydyka,1000.0,,
142.0,1749.0,1791.0,1749.0,1791.0,jurydyka,1000.0,,
143.0,1648.0,1791.0,1648.0,1791.0,ratusz,1000.0,,
144.0,1780.0,2000.0,1780.0,2000.0,kamienica,1000.0,,
145.0,1787.0,2000.0,1787.0,2000.0,ujęcie wody,1000.0,,
146.0,1878.0,1943.0,1878.0,1943.0,synagoga,1000.0,,
147.0,1749.0,1943.0,1749.0,1943.0,plac,1000.0,,
148.0,1936.0,1943.0,1936.0,1943.0,biblioteka,1000.0,,
149.0,1732.0,1898.0,1732.0,1898.0,koszary,1000.0,,
149.0,1898.0,1944.0,1898.0,1944.0,koszary,1000.0,,
150.0,1730.0,1944.0,1730.0,1944.0,plac,1000.0,,
151.0,1727.0,1935.0,1727.0,1935.0,park,1000.0,,
151.0,1935.0,1939.0,1935.0,1939.0,park,1000.0,,
152.0,1748.0,1772.0,1748.0,1772.0,opera,1000.0,,
153.0,1700.0,2000.0,1700.0,2000.0,pałac,1000.0,,
154.0,1735.0,1821.0,1735.0,1821.0,brama,38.0,,
155.0,1892.0,1939.0,1892.0,1939.0,elewator,38.0,,
156.0,1892.0,1939.0,1892.0,1939.0,elewator,1000.0,,
158.0,1695.0,1765.0,1695.0,1765.0,pałac,1000.0,,
159.0,1765.0,1795.0,1765.0,1795.0,budynki biurowe,1000.0,,
160.0,1795.0,1863.0,1795.0,1863.0,budynki biurowe,1000.0,,
161.0,1863.0,1917.0,1863.0,1917.0,sąd,1000.0,,
162.0,1917.0,1939.0,1917.0,1939.0,sąd,1000.0,,
163.0,1838.0,1875.0,1838.0,1875.0,pałac,1000.0,,
164.0,1875.0,1881.0,1875.0,1881.0,muzeum,1000.0,,
165.0,1918.0,1939.0,1918.0,1939.0,sąd,1000.0,,
166.0,1965.0,2000.0,1965.0,2000.0,park,1000.0,,
167.0,1765.0,2000.0,1765.0,2000.0,plac,1000.0,,
168.0,1695.0,1765.0,1695.0,1765.0,założenie pałacowe,1000.0,,
169.0,1786.0,1831.0,1786.0,1831.0,miejsce poboru opłat,1000.0,,
170.0,1831.0,1889.0,1831.0,1889.0,archiwum,1000.0,,
171.0,1889.0,1918.0,1889.0,1918.0,archiwum,1000.0,,
172.0,1918.0,1939.0,1918.0,1939.0,archiwum,1000.0,,
173.0,1881.0,1939.0,1881.0,1939.0,muzeum,1000.0,,
174.0,1642.0,1656.0,1642.0,1656.0,kościół,1000.0,,
175.0,1701.0,1834.0,1701.0,1834.0,kościół,1000.0,,
176.0,1834.0,1916.0,1834.0,1916.0,cerkiew,1000.0,,
177.0,1916.0,1933.0,1916.0,1933.0,kościół,1000.0,,
179.0,1772.0,1778.0,1772.0,1778.0,teatr,1000.0,,
180.0,1778.0,1791.0,1778.0,1791.0,teatr,1000.0,,
182.0,1791.0,1833.0,1791.0,1833.0,teatr,1000.0,,
178.0,1933.0,2000.0,1933.0,2000.0,kościół,1000.0,,
181.0,1778.0,1791.0,1778.0,1791.0,kamienica,1000.0,,
183.0,1833.0,1884.0,1833.0,1884.0,magazyn,1000.0,,
184.0,1884.0,1939.0,1884.0,1939.0,kamienica,1000.0,,
185.0,1762.0,1819.0,1762.0,1819.0,ulica,1000.0,,
186.0,1819.0,1829.0,1819.0,1829.0,ulica,1000.0,,
187.0,1829.0,1884.0,1829.0,1884.0,ulica,1000.0,,
188.0,1884.0,1945.0,1884.0,1945.0,ulica,1000.0,,
189.0,1695.0,1918.0,1695.0,1918.0,oficyna,1000.0,,
190.0,1918.0,1939.0,1918.0,1939.0,sąd,1000.0,,
191.0,1936.0,1942.0,1936.0,1942.0,pomnik,1000.0,,
192.0,1680.0,1808.0,1680.0,1808.0,pałac,1000.0,,
193.0,1769.0,1808.0,1769.0,1808.0,kamienica,1000.0,,
194.0,1808.0,1919.0,1808.0,1919.0,hotel,1000.0,,
195.0,1919.0,1927.0,1919.0,1927.0,kamienica,1000.0,,
196.0,1927.0,1939.0,1927.0,1939.0,budynki biurowe,1000.0,,
197.0,1776.0,1808.0,1776.0,1808.0,pałac,1000.0,,
198.0,1808.0,1944.0,1808.0,1944.0,hotel,1000.0,,
199.0,1724.0,1817.0,1724.0,1817.0,hala widowiskowa,1000.0,,
200.0,1855.0,2000.0,1855.0,2000.0,fontanna wolnostojąca,1000.0,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
