iri,name
http://purl.org/urbanonto/object_type_cace123e-7364-43b7-b756-eebe60ac4c0f,parcela
http://purl.org/urbanonto/object_type_ebb07674-ca92-49a0-9da3-90f840122383,park
http://purl.org/urbanonto/object_type_ce2166ef-bf8f-48f3-953a-cd110d8fb7ce,parking
http://purl.org/urbanonto/object_type_ff051b75-7b62-44d6-aa04-2c97fa75662f,pawilon
http://purl.org/urbanonto/object_type_d67cf313-5537-45e2-ae74-7b4ba44e3078,pałac
http://purl.org/urbanonto/object_type_d61883a4-c2f9-4b56-b243-b62de3abef82,pensjonat
http://purl.org/urbanonto/object_type_f0ada8e8-043a-487f-bcd8-b6f393161e08,peron
http://purl.org/urbanonto/object_type_704aafb3-2bce-4597-8258-62ba38c9a1a1,pierzeja
http://purl.org/urbanonto/object_type_93c8cca0-8c87-414b-839a-992f2a538da1,plac
http://purl.org/urbanonto/object_type_60a698e6-6a31-4bdd-bf9c-1aaa277d8f33,plac zabaw
http://purl.org/urbanonto/object_type_67c791d9-5864-4b3b-89e5-ee80389ab761,placówka badawcza
http://purl.org/urbanonto/object_type_fd7ae0ff-63fb-459a-b535-58a428511747,planty
http://purl.org/urbanonto/object_type_5dfec8a3-84f9-4aac-b687-1cbd030f4dbb,podgrodzie
http://purl.org/urbanonto/object_type_488f8944-e0bd-47dd-8230-610fdc15d49d,poligon wojskowy
http://purl.org/urbanonto/object_type_1a276b47-16bd-4b07-a642-e76acabe34d9,pomnik
http://purl.org/urbanonto/object_type_b1c02f41-b3f1-40e9-9793-c730b56cf7f3,pomost albo molo
http://purl.org/urbanonto/object_type_046dbc93-7f3a-4da6-a37b-2eef43c9071b,port wodny
http://purl.org/urbanonto/object_type_fa269f67-4b0c-42c9-b9ef-d719a5a3957f,posesja
http://purl.org/urbanonto/object_type_55033dcd-e6fe-443f-b615-1ea420555c92,przedszkole
http://purl.org/urbanonto/object_type_0d1690ae-e388-41d4-aff2-31bf937cc373,przejście podziemne
http://purl.org/urbanonto/object_type_632d5c8c-f305-4cbe-996d-ad321c2b09ec,przeprawa promowa
http://purl.org/urbanonto/object_type_a333898b-73f1-4ba7-8078-e34e35019f60,przeprawa łodziami
http://purl.org/urbanonto/object_type_d2abb593-b436-4f8e-963d-333e470aad7c,przewód gazowy
http://purl.org/urbanonto/object_type_74eff5a9-f958-4033-a6d0-e4fb63ce33a8,przewód kanalizacyjny
http://purl.org/urbanonto/object_type_eca60c6f-b783-450a-9404-ee82f5710573,przewód wodociągowy
http://purl.org/urbanonto/object_type_1441eb43-4105-4f33-813c-31f459a2528b,przytułek
http://purl.org/urbanonto/object_type_b8354224-3b8c-41cb-9b2b-855bea6a0e5c,pręgierz
http://purl.org/urbanonto/object_type_4bd6e285-753f-459e-9b5b-1a1657291685,rakarnia
http://purl.org/urbanonto/object_type_31b9b0e9-68bc-46c0-bb6c-6ba3f85f10c3,restauracja
