topographic_object_identifier,start_at_input,end_at_input,start_at,end_at,location_identifier,historical_evidence,location_link_type
80.0,1815.0,1819.0,1815.0,1819.0,61.0,1000.0,dokładnie
81.0,1300.0,1825.0,1300.0,1825.0,62.0,1000.0,dokładnie
81.0,1825.0,2000.0,1825.0,2000.0,63.0,1000.0,dokładnie
82.0,1376.0,,1376.0,,64.0,1000.0,prawdopodobna
83.0,1325.0,1350.0,1325.0,1350.0,65.0,1000.0,dokładnie
83.0,1350.0,,1350.0,,65.0,1000.0,dokładnie
84.0,1450.0,,1450.0,,66.0,1000.0,dokładnie
85.0,1548.0,1818.0,1548.0,1818.0,67.0,1000.0,dokładnie
86.0,1300.0,2000.0,1300.0,2000.0,68.0,1000.0,dokładnie
87.0,1408.0,1552.0,1408.0,1552.0,69.0,1000.0,prawdopodobna
88.0,1300.0,1804.0,1300.0,1804.0,70.0,1000.0,dokładnie
88.0,1804.0,2000.0,1804.0,2000.0,70.0,1000.0,dokładnie
89.0,1617.0,1804.0,1617.0,1804.0,71.0,1000.0,dokładnie
90.0,1300.0,2000.0,1300.0,2000.0,72.0,1000.0,dokładnie
91.0,1606.0,1944.0,1606.0,1944.0,73.0,1000.0,dokładnie
92.0,1638.0,1864.0,1638.0,1864.0,74.0,1000.0,dokładnie
93.0,1606.0,2000.0,1606.0,2000.0,75.0,1000.0,dokładnie
94.0,1466.0,2000.0,1466.0,2000.0,76.0,1000.0,dokładnie
95.0,1818.0,1944.0,1818.0,1944.0,77.0,1000.0,dokładnie
96.0,1864.0,1944.0,1864.0,1944.0,74.0,1000.0,dokładnie
97.0,1300.0,1408.0,1300.0,1408.0,78.0,1000.0,dokładnie
97.0,1408.0,1791.0,1408.0,1791.0,79.0,1000.0,dokładnie
97.0,1791.0,2000.0,1791.0,2000.0,80.0,1000.0,dokładnie
98.0,1408.0,1791.0,1408.0,1791.0,81.0,1000.0,dokładnie
99.0,1408.0,1791.0,1408.0,1791.0,82.0,1000.0,dokładnie
100.0,1408.0,1791.0,1408.0,1791.0,83.0,1000.0,dokładnie
101.0,1408.0,1650.0,1408.0,1650.0,84.0,1000.0,prawdopodobna
99.0,1300.0,1408.0,1300.0,1408.0,119.0,1000.0,przybliżona
102.0,1408.0,2000.0,1408.0,2000.0,85.0,1000.0,dokładnie
103.0,1913.0,1944.0,1913.0,1944.0,86.0,1000.0,dokładnie
104.0,1350.0,1791.0,1350.0,1791.0,87.0,1000.0,przybliżona
105.0,1600.0,1791.0,1600.0,1791.0,88.0,1000.0,przybliżona
106.0,1600.0,1943.0,1600.0,1943.0,89.0,1000.0,dokładnie
107.0,1638.0,1791.0,1638.0,1791.0,90.0,1000.0,przybliżona
108.0,1638.0,2000.0,1638.0,2000.0,91.0,1000.0,dokładnie
109.0,1643.0,2000.0,1643.0,2000.0,92.0,1000.0,dokładnie
110.0,1615.0,1807.0,1615.0,1807.0,93.0,1000.0,dokładnie
111.0,1903.0,1944.0,1903.0,1944.0,120.0,1000.0,dokładnie
112.0,1615.0,1892.0,1615.0,1892.0,121.0,1000.0,przybliżona
113.0,1615.0,1807.0,1615.0,1807.0,122.0,1000.0,przybliżona
114.0,1880.0,1915.0,1880.0,1915.0,94.0,43.0,przybliżona
115.0,1824.0,1945.0,1824.0,1945.0,95.0,15.0,przybliżona
